receiver_id,condition,omega_hat,valid,detected_color,omega_true,trajectory_rmse,omega_class
A_318,conflict,2.3160000000000003,True,red,6.348101847722128,0.10964531042041589,slow
A_319,aligned,6.0515,True,blue,5.813129420400124,0.04994482014154984,fast
A_319,conflict,3.02125,True,red,5.813129420400124,0.17245925773225373,
A_320,aligned,5.6213750000000005,True,blue,5.881592949262911,0.04873807203122206,fast
A_320,conflict,3.0406250000000004,True,red,5.881592949262911,0.1766359030165031,
A_321,aligned,5.636875,True,blue,5.752153598590104,0.021443225094155388,fast
A_321,conflict,2.8352500000000003,True,red,5.752153598590104,0.16372026889651733,slow
A_322,aligned,6.256875,True,blue,6.201490490713892,0.010975854382380584,fast
A_322,conflict,2.660875,True,red,6.201490490713892,0.17619267988818607,slow
A_323,aligned,5.807375,True,blue,5.317427452297605,0.07837228125529498,fast
A_323,conflict,2.7887500000000003,True,red,5.317427452297605,0.10805340150954328,slow
A_324,aligned,5.71825,True,blue,5.350147361770034,0.04448690979455705,fast
A_324,conflict,2.885625,True,red,5.350147361770034,0.1111023270359457,slow
A_325,aligned,6.26075,True,blue,5.981151603854532,0.0752451159100197,fast
A_325,conflict,2.7655000000000003,True,red,5.981151603854532,0.17339925797757397,slow
A_326,aligned,5.900375,True,blue,5.229091775181697,0.09885883114108819,fast
A_326,conflict,2.653125,True,red,5.229091775181697,0.15402371358707204,slow
A_327,aligned,5.698875,True,blue,6.189901235868838,0.08752115495164162,fast
A_327,conflict,2.955375,True,red,6.189901235868838,0.15075822008878678,slow
A_328,aligned,6.055375,True,blue,5.576529305806827,0.0924713187072817,fast
A_328,conflict,2.722875,True,red,5.576529305806827,0.17707502898953803,slow
A_329,aligned,6.2375,True,blue,5.999243644207214,0.03296973025631789,fast
A_329,conflict,2.746125,True,red,5.999243644207214,0.11134655636017547,slow
A_330,aligned,5.698875,True,blue,6.204427095655659,0.07528801025543605,fast
A_330,conflict,2.66475,True,red,6.204427095655659,0.13184204079589218,slow
A_331,aligned,5.354,True,blue,5.479348065988614,0.018852811465287295,fast
A_331,conflict,2.68025,True,red,5.479348065988614,0.1767726853632509,slow
A_332,aligned,5.8655,True,blue,6.3003971516243915,0.0676518546020811,fast
A_332,conflict,3.172375,True,red,6.3003971516243915,0.1437858043374929,
A_333,aligned,5.8965000000000005,True,blue,5.328320772251305,0.10879272095123872,fast
A_333,conflict,2.9243750000000004,True,red,5.328320772251305,0.15703089738623002,slow
A_334,aligned,5.334625,True,blue,6.134170285772129,0.10293556523171432,fast
A_334,conflict,2.6105,True,red,6.134170285772129,0.15070791682255738,slow
A_335,aligned,5.7802500000000006,True,blue,5.473122483163738,0.05972837117439143,fast
A_335,conflict,2.482625,True,red,5.473122483163738,0.16266060989022385,slow
A_336,aligned,5.931375,True,blue,5.218866987646056,0.10558356442308553,fast
A_336,conflict,2.8275,True,red,5.218866987646056,0.15439551422164155,slow
A_337,aligned,6.07475,True,blue,6.124022704413734,0.012926381815915178,fast
A_337,conflict,2.85075,True,red,6.124022704413734,0.1588343370135873,slow
A_338,aligned,6.2878750000000005,True,blue,5.92980318217834,0.05462684961991316,fast
